1,1,8206492,9123798
1,1,1279104,9200189
1,1,6369584,982498
1,1,2805237,5508590
1,1,9644708,9719062
1,1,1587594,9776520
1,1,9641285,4889058
1,1,8061009,1429182
1,1,4248287,9223957
1,1,7979691,9664709
1,2,6605099,359714
1,2,8553051,9407862
1,2,6836716,7632512
1,2,7485373,3950797
1,2,6602452,1724317
1,2,7111812,320643
1,2,2789370,465071
1,2,978382,8294469
1,2,6998821,3194057
1,2,9571331,346966
1,3,4419353,3843335
1,3,7710844,8009834
1,3,1882317,4933265
1,3,4488269,6510137
1,3,7145241,7601755
1,3,2780326,6846462
1,3,6598625,1637944
1,3,1198631,5019887
1,3,9667242,3428613
1,3,5895244,2254397
1,4,7567310,2569504
1,4,5096369,7041611
1,4,8973828,9662684
1,4,5511954,1396326
1,4,1503798,2593811
1,4,8468318,2561315
1,4,8202072,2452961
1,4,9360222,3525292
1,4,1980251,2529100
1,4,6205252,4767311
1,5,3542171,8368713
1,5,5895207,5537218
1,5,9238645,2879179
1,5,7627074,7592110
1,5,3832128,5719514
1,5,764059,543425
1,5,5346580,7848341
1,5,9408038,1308510
1,5,5729607,4728045
1,5,119886,3395745
1,6,1633618,8000614
1,6,3134785,5323772
1,6,1668535,6063602
1,6,2648839,6588362
1,6,6942272,7535929
1,6,4538184,844310
1,6,2306423,9199801
1,6,1534862,8318232
1,6,5422578,10033797
1,6,787441,4458979
1,7,1074284,9688940
1,7,46679,7805464
1,7,8232475,8750128
1,7,850499,4026903
1,7,2617604,8058874
1,7,4345515,9172708
1,7,1831696,2657215
1,7,1465974,1370581
1,7,8756146,5839208
1,7,5538593,1460090
1,8,8592352,6265794
1,8,3535048,5169824
1,8,4047304,765192
1,8,2416610,1242158
1,8,1852453,2416977
1,8,4203018,500155
1,8,9092816,9516587
1,8,4944341,4928110
1,8,3401756,9066000
1,8,3719323,1120115
1,9,7859269,3925734
1,9,2434491,4068498
1,9,971560,1329331
1,9,9489022,9630886
1,9,5793921,602143
1,9,2364874,3557271
1,9,8271666,155154
1,9,433367,1702191
1,9,6538365,7370442
1,9,6524570,4542033
1,10,5509873,2984759
1,10,7501090,1903293
1,10,6917704,1848458
1,10,3711646,6301687
1,10,7859021,817158
1,10,9361454,7813545
1,10,4903321,4390286
1,10,4500332,3085775
1,10,5122070,5144864
1,10,8235743,8006123
2,2,6490043,3813630
2,2,8174831,5367008
2,2,3532779,9458310
2,2,8823136,5541576
2,2,6270024,5913143
2,2,2092532,3034373
2,2,4743484,2321645
2,2,8504495,1961808
2,2,2275649,1719496
2,2,2293201,4388675
2,3,3133649,9300954
2,3,4333363,1861605
2,3,9114622,9868741
2,3,4420619,1119274
2,3,2599416,4116925
2,3,5992228,2641188
2,3,6072276,7163885
2,3,2233595,1182716
2,3,2988336,3210968
2,3,4272517,5115519
2,4,861377,2643912
2,4,8068404,294327
2,4,9356097,7356426
2,4,4921626,5827327
2,4,2390093,4621860
2,4,9700931,5507826
2,4,5249261,2332787
2,4,4924535,6285989
2,4,6840749,3983918
2,4,3701090,9951676
2,5,380133,8916059
2,5,9199292,8019745
2,5,994302,2637757
2,5,3377959,6846716
2,5,1375463,7264730
2,5,1075383,6585121
2,5,4977681,7847178
2,5,7202376,9102934
2,5,8974022,3365934
2,5,7038278,1992485
2,6,307630,7494859
2,6,5036591,4834126
2,6,9113023,6143022
2,6,6221587,8656931
2,6,8113478,5809160
2,6,1842528,2416770
2,6,8929596,288827
2,6,4934644,1691484
2,6,9857986,7178779
2,6,5041116,4745146
2,7,600524,6869319
2,7,427397,719650
2,7,5254438,974335
2,7,8240990,8234931
2,7,7276939,1509554
2,7,6644026,5223667
2,7,9800510,6537116
2,7,8061514,4570982
2,7,4355363,8313163
2,7,840768,1341395
2,8,1746496,3937811
2,8,8374264,8092073
2,8,609109,4021616
2,8,5307078,4198308
2,8,6616372,6325406
2,8,2941077,4347906
2,8,155997,9912209
2,8,1683842,1069888
2,8,3751183,1995593
2,8,4932491,3419625
2,9,9585517,9270257
2,9,530601,7432246
2,9,2710767,4259109
2,9,5518556,9495936
2,9,4207823,9902023
2,9,3036474,7061979
2,9,6711852,5430475
2,9,7031829,6713756
2,9,1794280,1289454
2,9,10063468,1723656
2,10,328379,5652814
2,10,8882804,6740422
2,10,1918183,3715997
2,10,4640768,9887775
2,10,1575425,8617451
2,10,6494539,3790088
2,10,1923123,4313677
2,10,4855278,1214888
2,10,5937950,2278327
2,10,3874164,5872265
3,3,2536375,2925530
